description,prix,code,marque,date
Barre de cr�me glac�e, tourbillon de brownie,Friandises et barres de crème glacée,6.18,21165500_EA,Klondike,2019-07-16 14:34
Drumstick Sweet and Salty Caramel Cones,Friandises et barres de crème glacée,6.78,20854795_EA,Nestlé,2019-07-16 14:34
Drumstick Vanille au caramel,Friandises et barres de crème glacée,6.78,20322380001_EA,Nestlé,2019-07-16 14:34
Sandwichs Oreo,Friandises et barres de crème glacée,6.78,20304623001_EA,Christie,2019-07-16 14:34
Cornets NESTLÉ DRUMSTICK ROLO,Friandises et barres de crème glacée,6.99,21162997_EA,Nestlé,2019-07-16 14:34
Barres au fudge, format Club,Friandises et barres de crème glacée,7.48,20347400002_EA,sans nom Format Club,2019-07-16 14:34
Sandwich à la crème glacée, vanille,Friandises et barres de crème glacée,7.48,21013432_EA,sans nom,2019-07-16 14:34
Barres de crème glacée à saveurs assorties format Club,Friandises et barres de crème glacée,7.48,20347400004_EA,sans nom Format Club,2019-07-16 14:34
Barres de glace au lait à la vanille format club,Friandises et barres de crème glacée,7.48,20347400001_EA,sans nom Format Club,2019-07-16 14:34
Sandwich à la crème glacée aux brisures de chocolat,Friandises et barres de crème glacée,7.48,21013106_EA,sans nom,2019-07-16 14:34
Sandwich à la crème glacée, chocolat,Friandises et barres de crème glacée,7.48,21013437_EA,sans nom,2019-07-16 14:34
Drumstick vanille-fudge vanille-caramel,Friandises et barres de crème glacée,17.48,20420070_EA,Nestlé,2019-07-16 14:34
Crème glacée à l'ancienne, vanille,Contenants de crème glacée,2.0,20322412002_EA,Coaticook,2019-07-16 14:34
Cr�me glac�e, Festin Banana,Contenants de crème glacée,3.88,21167196_EA,None,2019-07-16 14:34
Crème glacée napolitaine,Contenants de crème glacée,3.88,20319168005_EA,None,2019-07-16 14:34
Crème glacée vanille,Contenants de crème glacée,3.88,20319168001_EA,None,2019-07-16 14:34
Crème glacée au chocolat,Contenants de crème glacée,3.88,20319168003_EA,None,2019-07-16 14:34
Crème glacée à l’érable,Contenants de crème glacée,3.88,20319168004_EA,None,2019-07-16 14:34
créme glacée vanille,Contenants de crème glacée,4.0,20319300002_EA,le Choix du Président,2019-07-16 14:34
créme glacée napolitaine,Contenants de crème glacée,4.0,20319300006_EA,le Choix du Président,2019-07-16 14:34
créme glacée chocolat,Contenants de crème glacée,4.0,20319300004_EA,le Choix du Président,2019-07-16 14:34
Crème glacée à la vanille La crème avant tout,Contenants de crème glacée,4.14,20757157003_EA,le Choix du Président,2019-07-16 14:34
Crème glacée à la gousse de vanille La crème avant tout,Contenants de crème glacée,4.14,20757157002_EA,le Choix du Président,2019-07-16 14:34
Crème glacée à la vanille aux torsades de fudge au chocolat La crème avant tout,Contenants de crème glacée,4.14,20757157006_EA,le Choix du Président,2019-07-16 14:34
Yogourt glacé, caramel et vanille,Contenants de crème glacée,4.48,21012580_EA,Chapman’s,2019-07-16 14:34
dessert congelé sans produits laitiers au lait de coco à la noix de coco,Contenants de crème glacée,4.54,20999873_EA,le Choix du Président,2019-07-16 14:34
Crème glacée sans sucre ajouté vanille,Contenants de crème glacée,4.88,20315564001_EA,Chapman’s,2019-07-16 14:34
Crème glacée à l'ancienne, sucre erable,Contenants de crème glacée,4.98,20320664013_EA,Coaticook,2019-07-16 14:34
Crème glacée à l'ancienne, double chocolat,Contenants de crème glacée,4.98,20320664011_EA,Coaticook,2019-07-16 14:34
Crème glacée à l'ancienne, pistache,Contenants de crème glacée,4.98,20320664014_EA,Coaticook,2019-07-16 14:34
Crème glacée à l'ancienne, fraises,Contenants de crème glacée,4.98,20320664007_EA,Coaticook,2019-07-16 14:34
TeaPops Biologique Framboises et Citron 4 Barres x,Contenants de crème glacée,4.98,21041309_EA,Proscan,2019-07-16 14:34
Crème glacée à l'ancienne, vanille,Contenants de crème glacée,4.98,20320664001_EA,Coaticook,2019-07-16 14:34
Crème glacée Café,Contenants de crème glacée,4.98,20318431008_EA,Häagen-Dazs,2019-07-16 14:34
Crème glacée à l'ancienne, chocolat,Contenants de crème glacée,4.98,20320664006_EA,Coaticook,2019-07-16 14:34
Crème glacée Chocolat,Contenants de crème glacée,4.98,20318431007_EA,Häagen-Dazs,2019-07-16 14:34
Crème glacée Vanille,Contenants de crème glacée,4.98,20318431001_EA,Häagen-Dazs,2019-07-16 14:34
TeaPops Biologique Mangue Tropicale 4 Barres x,Contenants de crème glacée,4.98,21041046_EA,Proscan,2019-07-16 14:34
Crème glacée à l'ancienne, cerises noires,Contenants de crème glacée,4.98,20320664003_EA,Coaticook,2019-07-16 14:34
Crème glacée à l'ancienne, marbree au caramel écossais,Contenants de crème glacée,4.98,20320664004_EA,Coaticook,2019-07-16 14:34
Crème glacée à l'ancienne, Marbree au fudge,Contenants de crème glacée,4.98,20320664005_EA,Coaticook,2019-07-16 14:34
Cornet Yukon chocolat, caramel sal� et arachides,Contenants de crème glacée,5.0,21161100_EA,Chapman’s,2019-07-16 14:34
Glace au lait à la vanille format club,Contenants de crème glacée,5.0,20015284002_EA,sans nom,2019-07-16 14:34
Glace au lait napolitaine,Contenants de crème glacée,5.0,20302770_EA,sans nom,2019-07-16 14:34
Sandwichs à la crème glacée Yukon Great Canadian, vanille française,Contenants de crème glacée,5.0,20950270_EA,Chapman’s,2019-07-16 14:34
Sucettes glacées LifeSavers, cinq saveurs,Contenants de crème glacée,5.14,21013069_EA,Nestlé,2019-07-16 14:34
Crème glacée Premium à la vanille française,Contenants de crème glacée,5.28,20323573001_EA,Chapman’s,2019-07-16 14:34
Crème glacée cerise noire Premium,Contenants de crème glacée,5.28,20323573013_EA,Chapman’s,2019-07-16 14:34
Crème glacée, gâteau au fromage et chocolat,Contenants de crème glacée,5.28,20950732_EA,Chapman’s,2019-07-16 14:34
Sandwichs à la crème glacée, caramel salé,Contenants de crème glacée,5.28,20950639_EA,Chapman’s,2019-07-16 14:34
Crème glacée Premium, moka et au fudge,Contenants de crème glacée,5.28,20323573010_EA,Chapman’s,2019-07-16 14:34
crème glacée légère pleine de régals chocolatés au caramel,Contenants de crème glacée,5.78,20746245004_EA,le Choix du Président,2019-07-16 14:34
crème glacée légère pleine de régals chocolatés au beurre d'arachide,Contenants de crème glacée,5.78,20757538_EA,le Choix du Président,2019-07-16 14:34
crème glacée légère pleine de pâte à biscuits aux brisures chocolatées,Contenants de crème glacée,5.78,20746245007_EA,le Choix du Président,2019-07-16 14:34
Crème glacée, tourbillon à l’érable,Contenants de crème glacée,5.98,21183576_EA,None,2019-07-16 14:34
Crème glacée, caramel salé et noix de cajou,Contenants de crème glacée,5.98,21026997_EA,So Delicious,2019-07-16 14:34
Crème glacée, caramel salé,Contenants de crème glacée,5.98,21183409_EA,None,2019-07-16 14:34
dessert congelé sans produits laitiers au lait de coco à la mangue,Contenants de crème glacée,5.98,20999874_EA,le Choix du Président,2019-07-16 14:34
Napolitaine Classique familial Breyers,Contenants de crème glacée,6.28,20301305004_EA,Breyers,2019-07-16 14:34
Délice royal Classique familial Breyers,Contenants de crème glacée,6.28,20301305010_EA,Breyers,2019-07-16 14:34
Crème glacée passerelle de wapiti, Délices du bar laitier,Collations glacées et barres glacées aux fruits,4.98,21077488_EA,le Choix du Président,2019-07-16 14:34
Mini barres de crème glacée à la menthe et au chocolat Bar laitier PC,Collations glacées et barres glacées aux fruits,4.98,21077475_EA,le Choix du Président,2019-07-16 14:34
mini barres de crème glacée rocky road bar laitier,Collations glacées et barres glacées aux fruits,4.98,21077477_EA,le Choix du Président,2019-07-16 14:34
Mix Pack Assorti 10 Sélection Familiale,Collations glacées et barres glacées aux fruits,5.0,21018441_EA,Iceberg,2019-07-16 14:34
Cosmopops format club,Collations glacées et barres glacées aux fruits,5.0,20031065001_EA,sans nom,2019-07-16 14:34
Sucettes glacées, format club,Collations glacées et barres glacées aux fruits,5.0,20031065002_EA,sans nom,2019-07-16 14:34
Assortiment de desserts à la crème glacée,Collations glacées et barres glacées aux fruits,5.0,20952959_EA,Iceberg,2019-07-16 14:34
Sucettes glacées, tropical,Collations glacées et barres glacées aux fruits,5.28,20949266_EA,Popsicle,2019-07-16 14:34
Bombe Pop Jr,Collations glacées et barres glacées aux fruits,5.28,20343500005_EA,Popsicle,2019-07-16 14:34
Lolly Rockets � la cr�me glac�e, assortis,Collations glacées et barres glacées aux fruits,5.48,21161183_EA,Chapman’s,2019-07-16 14:34
Lolly � la cr�me glac�e, chocolat,Collations glacées et barres glacées aux fruits,5.48,21161187_EA,Chapman’s,2019-07-16 14:34
Barre glacée skyr citron,Collations glacées et barres glacées aux fruits,5.98,21074208_EA,le Choix du Président,2019-07-16 14:34
Barres de cr�me glac�e, tr�s cr�meux,Collations glacées et barres glacées aux fruits,5.98,21161101_EA,Chapman’s,2019-07-16 14:34
Sorbet arc-en-ciel,Sorbets,4.48,20529120001_EA,Chapman’s,2019-07-16 14:34
Sorbet aux trois baies,Sorbets,4.48,20761284_EA,Chapman’s,2019-07-16 14:34
Chapman'sSorbet Cerise 2 L,Sorbets,4.48,21082091_EA,Chapman’s,2019-07-16 14:34
Yogourt glacé chocolat,Yogourts glacés et gelato,4.28,20311642001_EA,le Choix du Président,2019-07-16 14:34
yogourt glacé à la vanille française,Yogourts glacés et gelato,4.28,20902182002_EA,le Choix du Président,2019-07-16 14:34
Yogourt glacé à la fraise,Yogourts glacés et gelato,4.48,20314434002_EA,Chapman’s,2019-07-16 14:34
Yogourt Glacé Biscuits et Crème,Yogourts glacés et gelato,4.48,21082109_EA,Chapman’s,2019-07-16 14:34
Yogourt glacé Cerises noires casino,Yogourts glacés et gelato,4.48,20314434013_EA,Chapman’s,2019-07-16 14:34
Yogourt glacé au chocolat hollandais,Yogourts glacés et gelato,4.48,20314434005_EA,Chapman’s,2019-07-16 14:34
Yogourt glacé, cappuccino,Yogourts glacés et gelato,4.48,20314434007_EA,Chapman’s,2019-07-16 14:34
Yogourt glacé vanille,Yogourts glacés et gelato,4.48,20314434001_EA,Chapman’s,2019-07-16 14:34
Yogourt glacé, caramel et vanille,Yogourts glacés et gelato,4.48,21012580_EA,Chapman’s,2019-07-16 14:34
Yogourt glacé érable et noix,Yogourts glacés et gelato,4.48,20314434008_EA,Chapman’s,2019-07-16 14:34
Sucette glacées Popsicle, orange, cerise et raisin,Yogourts glacés et gelato,5.28,20950845_EA,Popsicle,2019-07-16 14:34
Barres smoothie au kéfir à la limette Menu bleu,Yogourts glacés et gelato,5.98,20839325001_EA,le Choix du Président,2019-07-16 14:34
Barres Smoothie tourbillon Menu bleu,Yogourts glacés et gelato,5.98,20538593001_EA,le Choix du Président,2019-07-16 14:34
Barres smoothie au yogourt à saveur de fruits des champs,Yogourts glacés et gelato,5.98,20302849003_EA,le Choix du Président,2019-07-16 14:34
barres smoothie au kéfir fraises et vanille,Yogourts glacés et gelato,5.98,20839325002_EA,le Choix du Président,2019-07-16 14:34
Cornets Drumstick Simplement trempé,Yogourts glacés et gelato,6.78,21013059_EA,Nestlé,2019-07-16 14:34
CHIPS AHOY! Chocolate Chip Sandwich, 4-Pack,Yogourts glacés et gelato,6.78,21082444_EA,Christie,2019-07-16 14:34
Cr�me glac�e, mochi � la vanille,Gâteaux à la crème glacée,5.98,21166581_EA,le Choix du Président,2019-07-16 14:34
Cr�me glac�e, mochi � la fraise,Gâteaux à la crème glacée,5.98,21167338_EA,le Choix du Président,2019-07-16 14:34
Cr�me glac�e, mochi � la menthe et aux brisures de chocolat,Gâteaux à la crème glacée,5.98,21171368_EA,le Choix du Président,2019-07-16 14:34
Cr�me glac�e Mochi � la mangue et � la mangue,Gâteaux à la crème glacée,5.98,21168696_EA,le Choix du Président,2019-07-16 14:34
Gaufres aux bleuets,Crêpes, gaufres et pain doré,2.18,20316375002_EA,sans nom,2019-07-16 14:34
Crêpes au babeurre,Crêpes, gaufres et pain doré,2.18,20065295_EA,sans nom,2019-07-16 14:34
Gaufres à saveur originale,Crêpes, gaufres et pain doré,2.18,20316375001_EA,sans nom,2019-07-16 14:34
Gaufres au babeurre,Crêpes, gaufres et pain doré,2.18,20316375003_EA,sans nom,2019-07-16 14:34
Gaufres Eggo Saveur de bleuets, 8 gaufres,Crêpes, gaufres et pain doré,2.78,20323436001_EA,Kellogg’s,2019-07-16 14:34
Gaufres Eggo chocolatées,Crêpes, gaufres et pain doré,2.78,20323436002_EA,Kellogg’s,2019-07-16 14:34
Gaufres Minis Eggo Originale , 8x4 gaufres,Crêpes, gaufres et pain doré,2.78,20323436006_EA,Kellogg’s,2019-07-16 14:34
Gaufres Eggo Originale, 8 gaufres,Crêpes, gaufres et pain doré,2.78,20302779_EA,Kellogg’s,2019-07-16 14:34
Gaufres belges Eggo Moelleuses et plus épaisses Saveur de cannelle et de cassonade, 6 gaufres,Crêpes, gaufres et pain doré,2.78,20819032_EA,Kellogg’s,2019-07-16 14:34
Eggo Crêpes au babeurre, 8 crêpes,Crêpes, gaufres et pain doré,2.78,20304062_EA,Kellogg’s,2019-07-16 14:34
Gaufres Eggo Saveur de fraises, 8 gaufres,Crêpes, gaufres et pain doré,2.78,20323436003_EA,Kellogg’s,2019-07-16 14:34
Gaufres Eggo à la cannelle sucrée, 8 gaufres,Crêpes, gaufres et pain doré,2.78,20323436005_EA,Kellogg’s,2019-07-16 14:34
Burnbrae Fermes Œufs Cuits au Four! Quiches Sans Croûte 2 Quiches,Crêpes, gaufres et pain doré,2.98,21060397_EA,Les Fermes Burnbrae,2019-07-16 14:34
Burnbrae Fermes Œufs Cuits au Four! Quiches sans Croûte Cheddar, Champignons Bacon 2 x (190 g),Crêpes, gaufres et pain doré,2.98,21060391_EA,Les Fermes Burnbrae,2019-07-16 14:34
Gaufres belges au chocolat,Crêpes, gaufres et pain doré,3.28,20900601_EA,le Choix du Président,2019-07-16 14:34
Gaufre belge vanille,Crêpes, gaufres et pain doré,3.28,20604613_EA,le Choix du Président,2019-07-16 14:34
Gaufres aux bleuets,Crêpes, gaufres et pain doré,3.48,20180368002_EA,sans nom,2019-07-16 14:34
Gaufres nature,Crêpes, gaufres et pain doré,3.48,20180368001_EA,sans nom,2019-07-16 14:34
Gaufres sans gluten bleuet,Crêpes, gaufres et pain doré,3.98,20749090002_EA,le Choix du Président,2019-07-16 14:34
Cr�pes au babeurre,Crêpes, gaufres et pain doré,4.48,21107242_EA,sans nom,2019-07-16 14:34
Gaufres Eggo Brisures chocolatées, 16 gaufres,Crêpes, gaufres et pain doré,4.98,20099730002_EA,Kellogg’s,2019-07-16 14:34
Gaufres Flax Plus,Crêpes, gaufres et pain doré,4.98,20085767001_EA,Nature’s Path,2019-07-16 14:34
Gaufres classiques maison sans gluten biologiques,Crêpes, gaufres et pain doré,4.98,20085767003_EA,Nature’s Path,2019-07-16 14:34
Gaufres au sarrasin et aux baies sauvages,Crêpes, gaufres et pain doré,4.98,20085767004_EA,Nature’s Path,2019-07-16 14:34
Gaufres Eggo Originale, 16 gaufres,Crêpes, gaufres et pain doré,4.98,20099730004_EA,Kellogg’s,2019-07-16 14:34
Gaufres Eggo Saveur de bleuets, 16 gaufres,Crêpes, gaufres et pain doré,4.98,20099730001_EA,Kellogg’s,2019-07-16 14:34
Gaufres surgel�es au babeurre Eggos,Crêpes, gaufres et pain doré,4.98,21176763_EA,Kellogg’s,2019-07-16 14:34
Gaufres ordinaires,Crêpes, gaufres et pain doré,8.48,20322093001_EA,sans nom,2019-07-16 14:34
Gaufres Eggo Originale, 48 gaufres,Crêpes, gaufres et pain doré,12.48,20296503001_EA,Kellogg’s,2019-07-16 14:34
Gaufres Eggo Mickey Mouse,Sandwichs déjeuner,2.78,21095302_EA,Kellogg’s,2019-07-16 14:35
Eggo Paw Patrol Originale,Sandwichs déjeuner,2.78,21176089_EA,Kellogg’s,2019-07-16 14:35
Toaster Strudel, tartinade fraises et fromage à la crème,Sandwichs déjeuner,3.18,20974313_EA,Pillsbury,2019-07-16 14:35
Pommes de terre rissolées,Pommes de terre rissolées,1.78,20130227_EA,sans nom,2019-07-16 14:35
Les Fermes Cavendish Restaurant Style Frites Gourmet Extra Minces (750G),Pommes de terre rissolées,3.48,20962093_EA,Les Fermes Cavendish,2019-07-16 14:35
Tasti Taters,Pommes de terre rissolées,4.64,21049522_EA,McCain,2019-07-16 14:35
Collations aux bleuets Toaster Strudel,Pâtisseries pour grille-pain et muffins,1.94,20172664003_EA,Pillsbury,2019-07-16 14:35
Collations aux framboises Toaster Strudel,Pâtisseries pour grille-pain et muffins,3.18,20172664005_EA,Pillsbury,2019-07-16 14:35
Collations aux petits fruits des champs Toaster Strudel,Pâtisseries pour grille-pain et muffins,3.18,20172664004_EA,Pillsbury,2019-07-16 14:35
Collations aux pommes Toaster Strudel,Pâtisseries pour grille-pain et muffins,3.18,20172664002_EA,Pillsbury,2019-07-16 14:35
Garniture à dessert légère Cool Whip,Garnitures pour desserts,2.98,20030369002_EA,Kraft,2019-07-16 14:35
Garniture pour dessert,Garnitures pour desserts,2.98,20030369001_EA,Kraft,2019-07-16 14:35
Mousse à dessert légère,Garnitures pour desserts,3.18,20113422002_EA,sans nom,2019-07-16 14:35
Mousse à dessert,Garnitures pour desserts,3.18,20113422001_EA,sans nom,2019-07-16 14:35
Croûtes à tarte profondes,Croûtes et pâtes à tarte,2.98,20671251_EA,sans nom,2019-07-16 14:35
Croûtes à tarte,Croûtes et pâtes à tarte,2.98,20153259_EA,sans nom,2019-07-16 14:35
Pâte feuilletée phyllo,Croûtes et pâtes à tarte,3.18,20288585001_EA,le Choix du Président,2019-07-16 14:35
Pâte feuilletée au beurre,Croûtes et pâtes à tarte,3.18,20156516_EA,le Choix du Président,2019-07-16 14:35
Croûtes à tarte profondes shortening tout végétal,Croûtes et pâtes à tarte,3.48,20303840006_EA,Tenderflake,2019-07-16 14:35
Croûtes à tartelette 3 po,Croûtes et pâtes à tarte,3.48,20303840004_EA,Tenderflake,2019-07-16 14:35
Croûtes à tarte ordinaires,Croûtes et pâtes à tarte,3.48,20303840003_EA,Tenderflake,2019-07-16 14:35
Fonds de tarte profonds,Croûtes et pâtes à tarte,3.48,20303840001_EA,Tenderflake,2019-07-16 14:35
Croûtes sucrées pour tartelettes,Croûtes et pâtes à tarte,3.88,20296118002_EA,sans nom,2019-07-16 14:35
Croûtes à tartelette 3 po,Croûtes et pâtes à tarte,3.88,20296118001_EA,sans nom,2019-07-16 14:35
Craquelins à l’ail Cuire à la maison,Pains, tartes et gâteaux,2.34,20162931_EA,Ready Bake,2019-07-16 14:35
Pain à l'ail,Pains, tartes et gâteaux,3.0,20585460_EA,Furlani,2019-07-16 14:35
Pain à l’ail Cuire à la maison,Pains, tartes et gâteaux,3.0,20122453_EA,Ready Bake,2019-07-16 14:35
Pain aux graines de lin Mack’s Flax,Pains, tartes et gâteaux,3.98,20318061002_EA,Silver Hills,2019-07-16 14:35
Pâte à pizza en boule,Pains, tartes et gâteaux,3.99,20025743_EA,Aliments,2019-07-16 14:35
Demi-baguette blanche Cuire au four,Pains, tartes et gâteaux,3.99,20659132_EA,Boulangerie ACE,2019-07-16 14:35
Gaufres sans gluten aux épices à citrouille,Pains, tartes et gâteaux,4.98,20821494_EA,Nature’s Path,2019-07-16 14:35
Pain aux céréales anciennes biologiques germées Big Red’s Bread,Pains, tartes et gâteaux,4.98,20821487002_EA,Silver Hills,2019-07-16 14:35
Pain Little Big Bread,Pains, tartes et gâteaux,4.98,20711960_EA,Silver Hills,2019-07-16 14:35
Pain aux grains germés The Big 16,Pains, tartes et gâteaux,4.98,20318061001_EA,Silver Hills,2019-07-16 14:35
Croissants au beurre Cuire au four,Pains, tartes et gâteaux,4.99,20660168_EA,Boulangerie ACE,2019-07-16 14:35
Bouquet focaccia romarin Votre fournée,Pains, tartes et gâteaux,4.99,20836160_EA,Boulangerie ACE,2019-07-16 14:35
Burger au chia et quinoa germé,Pains, tartes et gâteaux,5.48,20820069_EA,Sol Cuisine,2019-07-16 14:35
Muffins anglais de première qualité sans gluten,Pains, tartes et gâteaux,6.98,20157070_EA,Glutino,2019-07-16 14:35
baluchons aux pommes,Gâteaux surgelés,3.49,20800530_EA,le Choix du Président,2019-07-16 14:35
Gâteau au chocolat Deep ’n Delicious,Gâteaux surgelés,4.78,20310132002_EA,McCain,2019-07-16 14:35
Gâteau marbré Deep ’n Delicious,Gâteaux surgelés,4.78,20310132001_EA,McCain,2019-07-16 14:35
G�teau vanille et noix de coco Deep'n Delicious,Gâteaux surgelés,4.78,21165478_EA,McCain,2019-07-16 14:35
G�teau biscuits et cr�me Deep'n Delicious,Gâteaux surgelés,4.78,21165513_EA,McCain,2019-07-16 14:35
Gâteau à la vanille Deep ’n Delicious,Gâteaux surgelés,4.78,20310132003_EA,McCain,2019-07-16 14:35
Croustade aux pommes,Gâteaux surgelés,7.49,20052268_EA,le Choix du Président,2019-07-16 14:35
G�teau au fromage au caramel sal�,Gâteaux surgelés,7.98,21163225_EA,Dr. Oetker,2019-07-16 14:35
Millefeuille St-Hubert,Gâteaux surgelés,7.98,20106904_EA,St Hubert,2019-07-16 14:35
G�teau brownie au chocolat P�tisserie,Gâteaux surgelés,7.98,21163239_EA,Dr. Oetker,2019-07-16 14:35
Tarte à la lime des Keys PC,Gâteaux surgelés,9.99,20035860_EA,le Choix du Président,2019-07-16 14:35
Profiteroles,Gâteaux surgelés,11.99,20079202_EA,le Choix du Président,2019-07-16 14:35
enrobées de chocolate noir profitero,Gâteaux surgelés,11.99,20122270_EA,le Choix du Président,2019-07-16 14:35
Mini-éclairs au chocolat noir,Gâteaux surgelés,11.99,20004726_EA,le Choix du Président,2019-07-16 14:35
Fraises entières,Fruits,3.98,20321043_EA,le Choix du Président,2019-07-16 14:35
morceaux de noix de coco,Fruits,3.98,20977537_EA,le Choix du Président,2019-07-16 14:35
morceaux de mangues surgelés,Fruits,3.98,20296356_EA,le Choix du Président,2019-07-16 14:35
mélange de 4 fruits pc, pêches, fraises, ananas et man,Fruits,3.98,20612667_EA,le Choix du Président,2019-07-16 14:35
mures surgelees,Fruits,3.98,21096448_EA,le Choix du Président,2019-07-16 14:35
morceaux d'ananas,Fruits,3.98,20977547_EA,le Choix du Président,2019-07-16 14:35
Mélange de trois fruits,Fruits,3.98,20926607_EA,le Choix du Président,2019-07-16 14:35
bleuets sauvages canadiens surgelés,Fruits,3.98,20306054_EA,le Choix du Président,2019-07-16 14:35
mélange de fortifruits cerises douces foncées, bleuets et mûres surgelé,Fruits,3.98,20910293_EA,le Choix du Président,2019-07-16 14:35
mélange de 4 fruits pêches, fraises, ananas et mangue,Fruits,3.98,21034229_EA,le Choix du Président,2019-07-16 14:35
Fraises tranchées,Fruits,3.98,20312227_EA,le Choix du Président,2019-07-16 14:35
framboises rouges entières surgelées,Fruits,3.98,20795105_EA,le Choix du Président,2019-07-16 14:35
Mélange de 4 petits fruits,Fruits,3.98,20326357_EA,le Choix du Président,2019-07-16 14:35
pêches tranchées surgelées,Fruits,3.98,20419135_EA,le Choix du Président,2019-07-16 14:35
Canneberges,Fruits,3.98,20030072_EA,le Choix du Président,2019-07-16 14:35
morceaux d'avocats,Fruits,3.98,20977541_EA,le Choix du Président,2019-07-16 14:35
Cerises douces foncées emballées individuellement surgelées rapidement,Fruits,3.98,20419259_EA,le Choix du Président,2019-07-16 14:35
Mélange de super fruits,Fruits,6.98,20431483001_EA,le Choix du Président,2019-07-16 14:35
Bleuets sauvages canadiens,Fruits,6.98,20149390_EA,le Choix du Président,2019-07-16 14:35
Fraises entières,Fruits,6.98,20431483002_EA,le Choix du Président,2019-07-16 14:35
Framboises rouges entières,Fruits,6.98,20431483003_EA,le Choix du Président,2019-07-16 14:35
Mangue naturellement imparfaite,Fruits,11.0,21033161_EA,sans nom,2019-07-16 14:35
Mélange de 4 fruits,Fruits,11.0,20613707_EA,sans nom Format Club,2019-07-16 14:35
Bleuets,Fruits,11.0,21033164_EA,sans nom,2019-07-16 14:35
Fraises entières,Fruits,11.0,21033168_EA,sans nom,2019-07-16 14:35
Baies mélangées,Fruits,11.0,20814990_EA,sans nom,2019-07-16 14:35
Bleuets sauvages,Fruits,13.48,20327563_EA,le Choix du Président,2019-07-16 14:35
Mélange 4 petits fruits,Fruits,13.48,21099410_EA,le Choix du Président,2019-07-16 14:35
mélange de 4 fruits pc, pêches, fraises, ananas et man,Fruits,13.48,20612238_EA,le Choix du Président,2019-07-16 14:35
Croûtes à tarte profondes shortening tout végétal,Gâteaux au fromage et tartes,3.48,20303840006_EA,Tenderflake,2019-07-16 14:35
Croûtes à tartelette 3 po,Gâteaux au fromage et tartes,3.48,20303840004_EA,Tenderflake,2019-07-16 14:35
Croûtes à tarte ordinaires,Gâteaux au fromage et tartes,3.48,20303840003_EA,Tenderflake,2019-07-16 14:35
Fonds de tarte profonds,Gâteaux au fromage et tartes,3.48,20303840001_EA,Tenderflake,2019-07-16 14:35
baluchons aux pommes,Gâteaux au fromage et tartes,3.49,20800530_EA,le Choix du Président,2019-07-16 14:35
gâteaux au chocolat fondant les décadents,Gâteaux au fromage et tartes,3.99,20800613_EA,le Choix du Président,2019-07-16 14:35
Gâteau au chocolat Deep ’n Delicious,Gâteaux au fromage et tartes,4.78,20310132002_EA,McCain,2019-07-16 14:35
Gâteau marbré Deep ’n Delicious,Gâteaux au fromage et tartes,4.78,20310132001_EA,McCain,2019-07-16 14:35
Gâteau à la vanille Deep ’n Delicious,Gâteaux au fromage et tartes,4.78,20310132003_EA,McCain,2019-07-16 14:35
Gâteau au fromage aux fraises,Gâteaux au fromage et tartes,6.0,21089151_EA,sans nom,2019-07-16 14:35
Gâteau au fromage au chocolat,Gâteaux au fromage et tartes,6.0,21089169_EA,sans nom,2019-07-16 14:35
Gâteau au fromage original,Gâteaux au fromage et tartes,6.0,21089172_EA,sans nom,2019-07-16 14:35
Gâteau au fromage brownie au chocolat,Gâteaux au fromage et tartes,7.0,20299699_EA,le Choix du Président,2019-07-16 14:35
Gâteau au fromage garniture au bleuet,Gâteaux au fromage et tartes,7.0,20305400_EA,le Choix du Président,2019-07-16 14:35
Gâteau au fromage, garniture cerise New York,Gâteaux au fromage et tartes,7.0,20147627_EA,le Choix du Président,2019-07-16 14:35
Gâteau au fromage classique,Gâteaux au fromage et tartes,7.0,20318102_EA,le Choix du Président,2019-07-16 14:35
truffes de gâteau au fromage chocolat et amandes à arôme naturel,Gâteaux au fromage et tartes,7.0,21003647_EA,le Choix du Président,2019-07-16 14:35
Gâteau au fromage au chocolat,Gâteaux au fromage et tartes,7.0,21049806_EA,le Choix du Président,2019-07-16 14:35
Gâteau au fromage deux étages,Gâteaux au fromage et tartes,7.0,20287738_EA,le Choix du Président,2019-07-16 14:35
Croustade aux pommes,Gâteaux au fromage et tartes,7.49,20052268_EA,le Choix du Président,2019-07-16 14:35
Tiramisu,Gâteaux au fromage et tartes,7.49,21104504_EA,le Choix du Président,2019-07-16 14:35
Millefeuille St-Hubert,Gâteaux au fromage et tartes,7.98,20106904_EA,St Hubert,2019-07-16 14:35
Meringata,Gâteaux au fromage et tartes,7.99,21104506_EA,le Choix du Président,2019-07-16 14:35
Tarte à la lime des Keys PC,Gâteaux au fromage et tartes,9.99,20035860_EA,le Choix du Président,2019-07-16 14:35
Tarte à la Crème de Noix de Coco,Gâteaux au fromage et tartes,9.99,21108172_EA,le Choix du Président,2019-07-16 14:35
Profiteroles,Gâteaux au fromage et tartes,11.99,20079202_EA,le Choix du Président,2019-07-16 14:35
enrobées de chocolate noir profitero,Gâteaux au fromage et tartes,11.99,20122270_EA,le Choix du Président,2019-07-16 14:35
Mini-éclairs au chocolat noir,Gâteaux au fromage et tartes,11.99,20004726_EA,le Choix du Président,2019-07-16 14:35
Sélection de gâteaux au fromage, chocolat/fraise/original,Gâteaux au fromage et tartes,12.99,21089139_EA,sans nom,2019-07-16 14:35
